Nombre,Direccion,Longitud,Latitud
Abarrotes Dunosusa Bellavista,"C. 16 de Septiembre 25, Bellavista (Ampliación), Amp Bellavista, 24020 San Francisco de Campeche, Camp.",-90.506272,19.856421
Abarrotes Dunosusa Campeche 16,"Calle 16 119, Barrio de San Francisco, 24010 San Francisco de Campeche, Camp.",-90.523426,19.845913
Abarrotes Dunosusa Campeche Mercado,"Tamaulipas 8, Barrio de Sta Ana, 24050 San Francisco de Campeche, Camp.",-90.532038,19.841266
Abarrotes Dunosusa Centro,"C. 16 294, Zona Centro, 24000 San Francisco de Campeche, Camp.",-90.533565,19.843591
Abarrotes Dunosusa Edzna,"Guadalupe Victoria 156, Guadalupe Victoria, 24088 San Francisco de Campeche, Camp.",-90.488962,19.857711
Abarrotes Dunosusa El Polvorín,"C. Ecuador 179, Polvorín, 24060 San Francisco de Campeche, Camp.",-90.522933,19.829077
Abarrotes Dunosusa Granjas,"C. 12 246, Bellavista (Ampliación), Amp Bellavista, 24020 San Francisco de Campeche, Camp.",-90.507092,19.853694
Abarrotes Dunosusa Kalá,"Ramón Espínola Blanco I, II y III, 24085 San Francisco de Campeche, Camp.",-90.485088,19.844309
Abarrotes Dunosusa Kanisté,"C. 20, Kanisté, 24038 San Francisco de Campeche, Camp.",-90.554645,19.817621
Abarrotes Dunosusa Minas,"C. Plata 1472, Minas, 24026 San Francisco de Campeche, Camp.",-90.498404,19.861838
Abarrotes Dunosusa Montecristo,"Av Luis Donaldo Colosio Murrieta 447-475, Barrio de San José, 24035 San Francisco de Campeche, Camp.",-90.548306,19.832737
Abarrotes Dunosusa Morelos,"C. Participación Ciudadana 22, Morelos, 24026 San Francisco de Campeche, Camp.",-90.504297,19.85777
Abarrotes Dunosusa Palma Real,"Viveros 8-Loc 1, Unidad y Trabajo, 24020 San Francisco de Campeche, Camp.",-90.496257,19.850443
Abarrotes Dunosusa Plan Chac,"Av. Jaina 11, Unidad y Trabajo, 24088 San Francisco de Campeche, Camp.",-90.49335,19.853807
Abarrotes Dunosusa Presidentes,"Don Francisco I. Madero 53, Presidentes de México, 24088 San Francisco de Campeche, Camp.",-90.484236,19.862124
Abarrotes Dunosusa Samulá,"C. 19 20, Samulá, 24090 San Francisco de Campeche, Camp.",-90.549648,19.817146
Abarrotes Dunosusa San Antonio,"Av. Hacienda San Antonio 4, Hacienda San Antonio, 24087 San Francisco de Campeche, Camp.",-90.48565,19.853373
Abarrotes Dunosusa Santa Ana,"Argentina Antes 43 131-C, Barrio de Sta Ana, 24050 San Francisco de Campeche, Camp.",-90.525985,19.83949
Abarrotes Dunosusa Santa Lucía,"Av Gobernadores 36, Barrio de Sta Lucía, 24020 San Francisco de Campeche, Camp.",-90.504405,19.84288
Abarrotes Dunosusa Santa Lucía 2,"C. 14 15, Barrio de Sta Lucía, 24020 San Francisco de Campeche, Camp.",-90.515035,19.847547
Abarrotes Dunosusa Siglo XXI,"Novena, Vivah 2 Etapa, Siglo XXI, 24085 San Francisco de Campeche, Camp.",-90.492051,19.805758
Abarrotes Dunosusa Suc. Av. López Mateos,"Av López Mateos 149-155-A, Barrio de San José, 24040 San Francisco de Campeche, Camp.",-90.543356,19.835361
Abarrotes Dunosusa Sucursal Av. Central,"Av Patricio Trueba de Regil 316, Tepeyac, 24096 San Francisco de Campeche, Camp.",-90.531553,19.821295
